,Start,End,Name,Party
0,03/04/1921,08/02/1923,Warren Harding,Republican
1,08/02/1923,03/04/1929,Calvin Coolidge,Republican
2,03/04/1929,03/04/1933,Herbert Hoover,Republican
3,03/04/1933,04/12/1945,Franklin Roosevelt,Democratic
4,04/12/1945,01/20/1953,Harry Truman,Democratic
5,01/20/1953,01/20/1961,Dwight Eisenhower,Republican
6,01/20/1961,11/22/1963,John Kennedy,Democratic
7,11/22/1963,01/20/1969,Lyndon Johnson,Democratic
8,01/20/1969,08/09/1974,Richard Nixon,Republican
9,08/09/1974,01/20/1977,Gerald Fold,Republican
10,01/20/1977,01/20/1981,Jimmy Carter,Democratic
11,01/20/1981,01/20/1989,Ronald Reagan,Republican
12,01/20/1989,01/20/1993,Gerorge Bush Snr.,Republican
13,01/20/1993,01/20/2001,Bill Clinton,Democratic
14,01/20/2001,01/20/2009,George Bush Jnr.,Republican
15,01/20/2009,01/20/2017,Barack Obama,Democratic
16,01/20/2017,10/03/2017,Donald Trump,Republican
